centrourbano;departamento;sector;ambito;grado;0años;1año;2años;3años;4años;5años;6años;7años;8años;9años;10años;11años;12años;13años;14años;15años;16años;17años;18años;19años;20años;21años;22años;23años;24años;25años;26años;27años;28años;29años;30añosymás;TotalAlumnos
Gran Buenos Aires;HURLINGHAM;Privado;Urbano;5°;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;924;2;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;926
Gran Buenos Aires;HURLINGHAM;Privado;Urbano;6°;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;934;1;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;935
Gran Buenos Aires;HURLINGHAM;Privado;Urbano;7°;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;896;16;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;912
Gran Buenos Aires;HURLINGHAM;Privado;Urbano;8°;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;870;19;1;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;890
Gran Buenos Aires;HURLINGHAM;Privado;Urbano;9°;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;802;31;1;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;834
Gran Buenos Aires;HURLINGHAM;Privado;Urbano;Deambuladores;     ;39;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;39
Gran Buenos Aires;HURLINGHAM;Privado;Urbano;Sala de 2;     ;     ;129;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;129
Gran Buenos Aires;HURLINGHAM;Privado;Urbano;Sala de 3;     ;     ;     ;452;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;452
Gran Buenos Aires;HURLINGHAM;Privado;Urbano;Sala de 4;     ;     ;     ;     ;572;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;572
Gran Buenos Aires;HURLINGHAM;Privado;Urbano;Sala de 5;     ;     ;     ;     ;     ;657;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;657
Gran Buenos Aires;HURLINGHAM;Privado;Urbano;SNU;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;14;38;34;47;50;28;41;34;26;23;18;15;196;564
Gran Buenos Aires;ITUZAINGO;Estatal;Urbano;1°;     ;     ;     ;     ;     ;     ;1241;1;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;1242
Gran Buenos Aires;ITUZAINGO;Estatal;Urbano;10°;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;1123;312;151;36;3;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;1625
Gran Buenos Aires;ITUZAINGO;Estatal;Urbano;11°;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;1059;260;89;23;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;1431
Gran Buenos Aires;ITUZAINGO;Estatal;Urbano;12°;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;930;264;96;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;1290
Gran Buenos Aires;ITUZAINGO;Estatal;Urbano;13°/14°;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;119;5;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;124
Gran Buenos Aires;ITUZAINGO;Estatal;Urbano;2°;     ;     ;     ;     ;     ;     ;     ;1391;81;8;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;1480
Gran Buenos Aires;ITUZAINGO;Estatal;Urbano;20°;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;3;5;5;1;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;14
Gran Buenos Aires;ITUZAINGO;Estatal;Urbano;3°;     ;     ;     ;     ;     ;     ;     ;     ;1329;94;10;1;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;1434
Gran Buenos Aires;ITUZAINGO;Estatal;Urbano;4°;     ;     ;     ;     ;     ;     ;     ;     ;     ;1357;81;14;1;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;1453
Gran Buenos Aires;ITUZAINGO;Estatal;Urbano;5°;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;1283;93;16;1;1;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;1394
Gran Buenos Aires;ITUZAINGO;Estatal;Urbano;6°;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;1266;93;17;2;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;1378
Gran Buenos Aires;ITUZAINGO;Estatal;Urbano;7°;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;1329;188;48;9;2;3;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;1579
Gran Buenos Aires;ITUZAINGO;Estatal;Urbano;8°;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;1319;244;59;33;14;2;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;1671
Gran Buenos Aires;ITUZAINGO;Estatal;Urbano;9°;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;1152;224;92;44;5;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;1517
Gran Buenos Aires;ITUZAINGO;Estatal;Urbano;Deambuladores;     ;58;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;58
Gran Buenos Aires;ITUZAINGO;Estatal;Urbano;Lactantes;24;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;24
Gran Buenos Aires;ITUZAINGO;Estatal;Urbano;Sala de 2;     ;     ;109;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;109
Gran Buenos Aires;ITUZAINGO;Estatal;Urbano;Sala de 3;     ;     ;     ;941;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;941
Gran Buenos Aires;ITUZAINGO;Estatal;Urbano;Sala de 4;     ;     ;     ;     ;1221;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;1221
Gran Buenos Aires;ITUZAINGO;Estatal;Urbano;Sala de 5;     ;     ;     ;     ;     ;1292;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;1292
Gran Buenos Aires;ITUZAINGO;Estatal;Urbano;SNU;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;44;40;50;54;54;31;42;34;34;27;32;37;259;738
Gran Buenos Aires;ITUZAINGO;Privado;Urbano;1°;     ;     ;     ;     ;     ;     ;1035;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;1035
Gran Buenos Aires;ITUZAINGO;Privado;Urbano;10°;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;1038;45;2;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;1085
Gran Buenos Aires;ITUZAINGO;Privado;Urbano;11°;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;1035;44;5;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;1084
Gran Buenos Aires;ITUZAINGO;Privado;Urbano;12°;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;978;35;5;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;1018
Gran Buenos Aires;ITUZAINGO;Privado;Urbano;13°/14°;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;41;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;41
Gran Buenos Aires;ITUZAINGO;Privado;Urbano;2°;     ;     ;     ;     ;     ;     ;     ;1056;4;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;1060
Gran Buenos Aires;ITUZAINGO;Privado;Urbano;3°;     ;     ;     ;     ;     ;     ;     ;     ;1074;6;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;1080
Gran Buenos Aires;ITUZAINGO;Privado;Urbano;4°;     ;     ;     ;     ;     ;     ;     ;     ;     ;1083;7;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;1090
Gran Buenos Aires;ITUZAINGO;Privado;Urbano;5°;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;1095;1;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;1096
Gran Buenos Aires;ITUZAINGO;Privado;Urbano;6°;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;1104;2;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;1106
Gran Buenos Aires;ITUZAINGO;Privado;Urbano;7°;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;1139;6;3;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;1148
Gran Buenos Aires;ITUZAINGO;Privado;Urbano;8°;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;1123;18;3;1;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;1145
Gran Buenos Aires;ITUZAINGO;Privado;Urbano;9°;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;1089;30;6;2;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;1127
Gran Buenos Aires;ITUZAINGO;Privado;Urbano;Deambuladores;     ;28;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;28
Gran Buenos Aires;ITUZAINGO;Privado;Urbano;Sala de 2;     ;     ;230;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;230
Gran Buenos Aires;ITUZAINGO;Privado;Urbano;Sala de 3;     ;     ;     ;595;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;595
Gran Buenos Aires;ITUZAINGO;Privado;Urbano;Sala de 4;     ;     ;     ;     ;665;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;665
Gran Buenos Aires;ITUZAINGO;Privado;Urbano;Sala de 5;     ;     ;     ;     ;     ;783;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;783
Gran Buenos Aires;ITUZAINGO;Privado;Urbano;SNU;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;35;40;42;37;21;32;31;25;32;24;31;19;95;464
Gran Buenos Aires;JOSE C. PAZ;Estatal;Urbano; ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;0
Gran Buenos Aires;JOSE C. PAZ;Estatal;Urbano;1°;     ;     ;     ;     ;     ;     ;4098;15;1;1;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;4115
Gran Buenos Aires;JOSE C. PAZ;Estatal;Urbano;10°;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;3284;845;381;87;8;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;4605
Gran Buenos Aires;JOSE C. PAZ;Estatal;Urbano;11°;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;2636;822;241;65;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;3764
Gran Buenos Aires;JOSE C. PAZ;Estatal;Urbano;12°;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;2401;681;237;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;3319
Gran Buenos Aires;JOSE C. PAZ;Estatal;Urbano;13°/14°;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;218;40;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;258
Gran Buenos Aires;JOSE C. PAZ;Estatal;Urbano;2°;     ;     ;     ;     ;     ;     ;     ;4280;389;48;2;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;4719
Gran Buenos Aires;JOSE C. PAZ;Estatal;Urbano;20°;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;23;19;13;2;1;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;58
Gran Buenos Aires;JOSE C. PAZ;Estatal;Urbano;3°;     ;     ;     ;     ;     ;     ;     ;     ;4367;434;64;10;2;2;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;4879
Gran Buenos Aires;JOSE C. PAZ;Estatal;Urbano;4°;     ;     ;     ;     ;     ;     ;     ;     ;     ;4201;383;104;16;6;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;4710
Gran Buenos Aires;JOSE C. PAZ;Estatal;Urbano;5°;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;4082;372;108;43;11;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;4616
Gran Buenos Aires;JOSE C. PAZ;Estatal;Urbano;6°;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;4106;342;131;37;6;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;4622
Gran Buenos Aires;JOSE C. PAZ;Estatal;Urbano;7°;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;3875;807;196;118;20;7;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;5023
Gran Buenos Aires;JOSE C. PAZ;Estatal;Urbano;8°;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;3625;905;256;55;23;1;1;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;4866
Gran Buenos Aires;JOSE C. PAZ;Estatal;Urbano;9°;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;3535;790;254;93;8;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;4680
Gran Buenos Aires;JOSE C. PAZ;Estatal;Urbano;Sala de 3;     ;     ;     ;1127;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;1127
Gran Buenos Aires;JOSE C. PAZ;Estatal;Urbano;Sala de 4;     ;     ;     ;     ;2542;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;2542
Gran Buenos Aires;JOSE C. PAZ;Estatal;Urbano;Sala de 5;     ;     ;     ;     ;     ;3122;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;3122
Gran Buenos Aires;JOSE C. PAZ;Estatal;Urbano;SNU;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;34;63;72;94;84;83;88;85;90;96;89;105;137;1120
Gran Buenos Aires;JOSE C. PAZ;Privado;Urbano; ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;0
Gran Buenos Aires;JOSE C. PAZ;Privado;Urbano;1°;     ;     ;     ;     ;     ;     ;1782;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;1782
Gran Buenos Aires;JOSE C. PAZ;Privado;Urbano;10°;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;1155;118;11;1;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;1285
Gran Buenos Aires;JOSE C. PAZ;Privado;Urbano;11°;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;1124;103;16;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;1243
Gran Buenos Aires;JOSE C. PAZ;Privado;Urbano;12°;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;1044;106;8;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;1158
Gran Buenos Aires;JOSE C. PAZ;Privado;Urbano;2°;     ;     ;     ;     ;     ;     ;     ;1792;13;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;1805
Gran Buenos Aires;JOSE C. PAZ;Privado;Urbano;3°;     ;     ;     ;     ;     ;     ;     ;     ;1805;9;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;1814
Gran Buenos Aires;JOSE C. PAZ;Privado;Urbano;4°;     ;     ;     ;     ;     ;     ;     ;     ;     ;1840;13;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;1853
Gran Buenos Aires;JOSE C. PAZ;Privado;Urbano;5°;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;1814;3;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;1817
Gran Buenos Aires;JOSE C. PAZ;Privado;Urbano;6°;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;1710;2;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;1712
Gran Buenos Aires;JOSE C. PAZ;Privado;Urbano;7°;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;1407;61;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;1468
Gran Buenos Aires;JOSE C. PAZ;Privado;Urbano;8°;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;1369;64;2;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;1435
Gran Buenos Aires;JOSE C. PAZ;Privado;Urbano;9°;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;1319;66;5;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;1390
Gran Buenos Aires;JOSE C. PAZ;Privado;Urbano;Deambuladores;     ;13;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;13
Gran Buenos Aires;JOSE C. PAZ;Privado;Urbano;Lactantes;2;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;2
Gran Buenos Aires;JOSE C. PAZ;Privado;Urbano;Sala de 2;     ;     ;30;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;30
Gran Buenos Aires;JOSE C. PAZ;Privado;Urbano;Sala de 3;     ;     ;     ;491;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;491
Gran Buenos Aires;JOSE C. PAZ;Privado;Urbano;Sala de 4;     ;     ;     ;     ;1237;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;1237
Gran Buenos Aires;JOSE C. PAZ;Privado;Urbano;Sala de 5;     ;     ;     ;     ;     ;1424;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;1424
Gran Buenos Aires;LA MATANZA;Estatal;Urbano; ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;0
Gran Buenos Aires;LA MATANZA;Estatal;Urbano;1°;     ;     ;     ;     ;     ;     ;16702;87;1;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;16790
Gran Buenos Aires;LA MATANZA;Estatal;Urbano;10°;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;14178;3479;1326;397;105;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;19485
Gran Buenos Aires;LA MATANZA;Estatal;Urbano;11°;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;12867;3277;1025;267;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;17436
Gran Buenos Aires;LA MATANZA;Estatal;Urbano;12°;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;11413;2623;752;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;14788
Gran Buenos Aires;LA MATANZA;Estatal;Urbano;13°/14°;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;1047;171;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;1218
Gran Buenos Aires;LA MATANZA;Estatal;Urbano;2°;     ;     ;     ;     ;     ;     ;     ;17906;750;43;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;18699
Gran Buenos Aires;LA MATANZA;Estatal;Urbano;20°;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;14;31;26;7;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;78
Gran Buenos Aires;LA MATANZA;Estatal;Urbano;3°;     ;     ;     ;     ;     ;     ;     ;     ;18742;947;66;1;3;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;19759
Gran Buenos Aires;LA MATANZA;Estatal;Urbano;4°;     ;     ;     ;     ;     ;     ;     ;     ;     ;18341;921;138;18;2;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;19420
Gran Buenos Aires;LA MATANZA;Estatal;Urbano;5°;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;18306;869;163;22;2;2;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;19364
Gran Buenos Aires;LA MATANZA;Estatal;Urbano;6°;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;18098;895;178;40;2;1;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;19214
Gran Buenos Aires;LA MATANZA;Estatal;Urbano;7°;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;17251;2642;612;217;71;40;6;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;20839
Gran Buenos Aires;LA MATANZA;Estatal;Urbano;8°;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;16362;3172;827;273;107;42;19;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;20802
Gran Buenos Aires;LA MATANZA;Estatal;Urbano;9°;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;15419;3079;913;361;131;53;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;19956
Gran Buenos Aires;LA MATANZA;Estatal;Urbano;Deambuladores;     ;27;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;27
Gran Buenos Aires;LA MATANZA;Estatal;Urbano;Lactantes;3;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;3
Gran Buenos Aires;LA MATANZA;Estatal;Urbano;Sala de 2;     ;     ;624;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;624
Gran Buenos Aires;LA MATANZA;Estatal;Urbano;Sala de 3;     ;     ;     ;6938;36;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;6974
